Fingertip Push Ups,Chest/Shoulders/Triceps/Forearms,Advanced,1,Home,3
Situps,Abdominals,Beginner,1,Home,1
Crunches,Abdominals,Beginner,1,Home,1
Russian Twists,Abdominals,Beginner,1,Home,1
V-Ups,Abdominals,Intermediate,1,Home,1
Hanging Leg Raises,Abdominals,Intermediate,2,Pullup Bar,1
Gymnast Tucks,Abdominals,Intermediate,2,Dip Station,1
Hollow Holds,Abdominals,Intermediate,1,Home,1
Heel Taps,Abdominals,Beginner,1,Home,1
Barbell Roll Outs,Abdominals,Intermediate,2,Barbell+Weight Plates,2
Bear Crawls,Abdominals,Intermediate,1,Home,1
Barbell Squats,Quadriceps/Hamstrings/Glutes/Calves,Intermediate,2,Barbell+Weight Plates,3
Bulgarian Split Squats,Quadriceps/Hamstrings/Glutes/Calves,Intermediate,2,Bench+Dumbbells,2
Bodyweight Squats,Quadriceps/Hamstrings/Glutes/Calves,Beginner,1,Home,2
Front Squats,Quadriceps/Hamstrings/Glutes/Calves,Advanced,2,Barbell+Weight Plates,3
Barbell Hip Thrusts,Hamstrings,Intermediate,2,Bench+Barbell+Weight Plates,2
One Leg Thrusts,Hamstrings,Beginner,2,Bench+Dumbbells,2
Lunges,Quadriceps/Hamstrings/Glutes/Calves,Beginner,1,Home,2
Stepups,Quadriceps/Hamstrings/Glutes/Calves,Beginner,1,Home,1
Glute Bridge,Glutes,Beginner,1,Home,1
Goblet Squat,Quadriceps/Hamstrings/Glutes/Calves,Beginner,2,Dumbbells,2
Leg Press,Quadriceps/Hamstrings/Glutes/Calves,Beginner,3,Gym,3
Single Leg Deadlifts,Quadriceps/Hamstrings/Glutes,Beginner,2,Dumbbells,2
Leg Extensions,Quadriceps,Beginner,3,Gym,2
Hip Adductions,Quadriceps,Beginner,3,Gym,2
Calf Raises,Calves,Beginner,1,Home,1
Barbell Calf Raises,Calves,Intermediate,1,Barbell+Weight Plates,1
Single Leg Calf Raises,Calves,Intermediate,1,Home,1
Calf Press,Calves,Beginner,3,Gym,1
Seated Calf Raise,Calves,Beginner,3,Gym,1
Dumbbell Squats,Quadriceps/Hamstrings/Glutes/Calves,Beginner,2,Dumbbells,2
Jump Squats,Quadriceps/Hamstrings/Glutes/Calves,Beginner,1,Home,2
Pistol Squats,Quadriceps/Hamstrings/Glutes/Calves,Advanced,1,Home,3
Dragon Squats,Quadriceps/Hamstrings/Glutes/Calves,Advanced,1,Home,3
Hack Squats,Quadriceps/Hamstrings/Glutes/Calves,Intermediate,3,Gym,3
Sumo Squat,Quadriceps/Hamstrings/Glutes/Calves,Beginner,2,Dumbbells,2
